Título	Director	Idioma original	País	Duración	Número de personas que calificaron la película 	Calificación promedio de 0 a 5	Año de lanzamiento	Plataforma	Categoría	Presupuesto	Recaudación	Mes de visualización	Número de premios	Numero de Oscar
Guardians of the Galaxy Vol.3	James Gunn	English	USA	150	839470	4	2023	Cine	Action	250000000	845430302	7-1-23	0	0
Je verrai toujours vos visages (All Your Faces)	Jeanne Herry	French	France	115	9195	3,8	2023	Downloading	Drama	9000000	8969128	9-1-23	0	0
Teenage Mutant Ninja Turtles: Mutant Mayhem	Jeff Rowe	English	USA	100	222212	3,8	2023	Cine	Animation	70000000	161000000	9-1-23	1	0
Ténor	Claude Zidi Jr.	French	France	100	1875	3,1	2022	MyCanal	Comedy	6000000	2558119	9-1-23	0	0
The Fabelmans	Steven Spielberg	English	USA	151	354246	4	2022	Downloading	Drama	40000000	45598614	7-1-23	29	0
The Whale	Darren Aronofsky	English	USA	116	504922	3,7	2022	Downloading	Drama	3000000	55101305	8-1-23	45	2
South Park: Bigger, Longer & Uncut	Trey Parker	English	USA	81	114284	3,8	1999	Downloading	Animation	21000000	83137603	3-1-23	7	0
GoodFellas	Martin Scorsese	English	USA	145	819184	4,5	1990	MyCanal	Crime	25000000	46835000	5-1-23	44	1
Top Gun: Maverick	Joseph Kosinski	English	USA	131	886634	4	2022	MyCanal	Drama	170000000	1488732821	1-1-23	93	1
Fight Club	David Fincher	English	USA	139	1825886	4,3	1999	Netflix	Drama	63000000	100853753	2-1-23	12	1
City of God (Cidade de Deus)	Fernando Meirelles	Portuguese	Brazil	130	381558	4,5	2002	MyCanal	Crime	3300000	30641770	3-1-23	75	0
Mascarade (Masquerade)	Nicolas Bedos	French	France	142	9048	3,3	2022	MyCanal	Comedy	14000000	6667598	5-1-23	0	0
Maigret	Patrice Leconte	French	France	88	2848	2,8	2022	Downloading	Drama	7000000	5934907	4-1-23	0	0
Barbie	Greta Gerwig	English	USA	114	1612935	4	2023	Cine	Comedy	145000000	1419900000	9-1-23	2	0
The Wolf of Wall Street	Martin Scorsese	English	USA	180	1483342	4	2013	MyCanal	Comedy	100000000	392000000	7-1-23	37	0
Indiana Jones: Raiders of the Lost Ark	Steven Spielberg	English	USA	115	619208	4,2	1981	Downloading	Adventure	18000000	389925971	7-1-23	38	4
